Assessment,Q#,Stem,Image/Diagram Description,Type,Choices,Correct Answer,Grade,NGSS Standard,Scenario (1-5),Scenario Justification,SEP (1-5),SEP Justification,DCI (1-5),DCI Justification,CCC (1-5),CCC Justification,Indicator Avg,Holistic Classification,Crit 2: Three-Dimensional,Crit 3: Phenomena,Crit 5: Complexity,Crit 6: Technical Quality,Overall Rating,Key Recommendation
Alpha Standardized Science G4.6,1,"Oxpeckers eat ticks on zebras. Drag and drop the labels to describe the relationships between organisms (predator-prey, mutualism, parasitism).","Image showing oxpeckers on zebras with drag-drop labels for organism relationships",TEI,"Labels: predator-prey / mutualism / parasitism",TEI — drag labels to match relationships,4,5-LS2-1 (Grade 5 misalignment),3,"Real ecological scenario with oxpeckers and zebras. Students must classify organism relationships by dragging labels. The scenario is engaging but the content (symbiotic relationships and food web classification) aligns to Grade 5 LS2 rather than Grade 4 NGSS.",2,"Students classify organism relationships by matching labels. Engages Analyzing and Interpreting Data at a basic classification level — limited reasoning beyond recall of relationship definitions.",2,"Tests understanding of symbiotic relationships (mutualism, parasitism, predator-prey). This content is not part of Grade 4 NGSS — it aligns to 5-LS2 (ecosystems interactions). Recall-level within the misaligned content.",2,"Implicitly engages Patterns (organisms form recurring relationship types) but students are not asked to reason with the CCC — only to classify.",2.25,Low Guided Integration,Does Not Meet,Partially Meets,Does Not Meet,Partially Meets,Needs Improvement,"Content misalignment: symbiotic relationships are Grade 5 NGSS (5-LS2). The drag-drop format adds interactivity but not cognitive depth. Realign to Grade 4 standards or redesign to ask students to explain WHY each relationship benefits or harms each organism."
Alpha Standardized Science G4.6,2,"Stem in image — limited evaluation.",Image-based question with answer choices A through D,MC,"A) [in image], B) [in image], C) [in image], D) [in image]",Unknown,4,Unknown — image-dependent,1,"Stem is entirely embedded in an image and was not extracted. Cannot evaluate scenario quality. Conservatively scored.",1,"Cannot evaluate practice engagement without the stem. Conservatively scored as recall.",1,"Cannot evaluate DCI depth without knowing the content. Conservatively scored.",1,"Cannot evaluate CCC engagement without the stem.",1.0,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Cannot Evaluate,Weak,"Stem was not extractable from the image. Full evaluation requires the original test image. Recommend providing text-accessible versions of all questions for accessibility and evaluation purposes."
Alpha Standardized Science G4.6,3,"An object is moving across a surface. What will happen to the object due to friction?",None,MC,"A) Speed up, B) Stay the same, C) Slow down and stop, D) Change direction",C,4,4-PS3-3,2,"Simple question about friction's effect on motion. Minimal scenario — no real-world context or investigation framing. Direct recall of a basic concept.",1,"No science practice engaged beyond recall. Students select the known effect of friction.",2,"Tests understanding that friction converts kinetic energy to heat and slows objects. Basic recall of friction's effect on motion. Aligns to 4-PS3-3.",1,"No CCC engaged. No reasoning about patterns or cause-and-effect required.",1.5,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Pure recall of friction's effect. Redesign with a scenario providing data about different surfaces and asking students to predict and explain differences in stopping distance using Cause and Effect reasoning."
Alpha Standardized Science G4.6,4,"Fleas live on a wolf and feed on its blood. Describe the relationship between the fleas and the wolf.",None,TEI,"Labels or options related to: mutualism / parasitism / predator-prey / commensalism",TEI — parasitism,4,5-LS2-1 (Grade 5 misalignment),2,"Simple organism relationship identification. The flea-wolf scenario is real but the question is direct recall of parasitism. Content aligns to Grade 5 LS2 rather than Grade 4 NGSS.",1,"Students identify a parasitic relationship. No science practice beyond recall and classification.",2,"Tests understanding that parasitism involves one organism benefiting at the expense of another. Recall-level. Content misaligned to Grade 5.",1,"No CCC engaged.",1.5,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Partially Meets,Weak,"Content misalignment: organism relationships are Grade 5 NGSS (5-LS2). This is essentially the same concept as Q1 (parasitism) making it redundant. Realign to Grade 4 standards and reduce redundancy."
Alpha Standardized Science G4.6,5,"Stem in image — limited evaluation.",Image-based question with answer choices A through D,MC,"A) [in image], B) [in image], C) [in image], D) [in image]",Unknown,4,Unknown — image-dependent,1,"Stem is entirely embedded in an image and was not extracted. Cannot evaluate scenario quality. Conservatively scored.",1,"Cannot evaluate practice engagement without the stem. Conservatively scored as recall.",1,"Cannot evaluate DCI depth without knowing the content. Conservatively scored.",1,"Cannot evaluate CCC engagement without the stem.",1.0,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Cannot Evaluate,Weak,"Stem was not extractable from the image. Full evaluation requires the original test image. Recommend providing text-accessible versions of all questions."
Alpha Standardized Science G4.6,6,"[Stem in image — limited evaluation. Answer key indicates A is correct.]",Image likely present,MC,"A) [correct], B) [in image], C) [in image], D) [in image]",A,4,Unknown — image-dependent,1,"Stem was not extracted. Only the correct answer (A) is known. Cannot evaluate scenario quality. Conservatively scored.",1,"Cannot evaluate practice engagement without the stem.",1,"Cannot evaluate DCI depth without the content.",1,"Cannot evaluate CCC engagement.",1.0,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Cannot Evaluate,Weak,"Only the answer key was extractable. Full evaluation requires the original test image. Recommend text-accessible question formats."
Alpha Standardized Science G4.6,7,"[Stem in image — limited evaluation. Appears to involve a table and a mouse — likely a food web or ecosystem question.]","Image with a data table; mouse referenced as an organism in a food web",MC,"A) [in image], B) [in image], C) [in image], D) [in image], E) [in image]",Unknown,4,5-LS2-1 (likely — food web),2,"Appears to involve a food web with a table and mouse organism. The table format suggests data analysis but content likely aligns to Grade 5 LS2 rather than Grade 4. Limited evaluation possible.",2,"If a data table is involved students may engage in basic Analyzing and Interpreting Data. However without the stem the depth cannot be confirmed.",2,"Likely tests food web relationships — Grade 5 content. Cannot confirm depth.",1,"Cannot evaluate CCC engagement without the full stem.",1.75,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Cannot Evaluate,Weak,"Appears to be another food web question (Grade 5 content). The five-option format and table suggest some complexity but full evaluation requires the original image."
Alpha Standardized Science G4.6,8,"Stem in image — limited evaluation.",Image-based question,MC or TEI,Unknown,Unknown,4,Unknown — image-dependent,1,"Stem is entirely embedded in an image. Cannot evaluate. Conservatively scored.",1,"Cannot evaluate practice engagement.",1,"Cannot evaluate DCI depth.",1,"Cannot evaluate CCC engagement.",1.0,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Cannot Evaluate,Weak,"Stem was not extractable. Full evaluation requires the original test image."
Alpha Standardized Science G4.6,9,"[Stem in image — food web question involving cougar and snake. Students likely identify relationships or energy flow in a food web.]","Food web diagram showing cougar, snake, and other organisms",TEI,"Drag-drop or selection involving food web organisms",TEI — food web relationships,4,5-LS2-1 (Grade 5 misalignment),2,"Food web scenario with cougar and snake. The organisms suggest a terrestrial ecosystem food web. Content aligns to Grade 5 LS2. Limited text extraction prevents full evaluation.",2,"If students must trace energy flow or identify predator-prey relationships in a food web this engages Developing and Using Models at a basic level. TEI format adds interactivity.",2,"Food web content is Grade 5 (5-LS2). Likely recall-level identification of who eats whom.",2,"Food webs implicitly engage Energy and Matter (energy flow through organisms) but without the stem the depth of CCC engagement cannot be confirmed.",2.0,Low Guided Integration,Does Not Meet,Does Not Meet,Does Not Meet,Cannot Evaluate,Weak,"Food web content is misaligned to Grade 4 NGSS. The TEI format may add some interactivity but without the full stem cognitive demand cannot be confirmed. Realign to Grade 4 standards."
Alpha Standardized Science G4.6,10,"[Stem in image — likely another food web question based on test context.]",Image-based — likely food web diagram,MC or TEI,Unknown,Unknown,4,5-LS2-1 (likely — food web),1,"Appears to continue the food web theme. Stem not extracted. Conservatively scored.",1,"Cannot evaluate practice engagement.",1,"Cannot evaluate DCI depth. Likely Grade 5 content.",1,"Cannot evaluate CCC engagement.",1.0,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Cannot Evaluate,Weak,"Likely another food web question contributing to over-testing of Grade 5 content. Full evaluation requires the original image."
